2020-06-08 13:07:18,152 INFO  [log] The totoal number of rows which contains data are3
2020-06-08 13:07:18,158 INFO  [log] The totoal number of columns which contains data are2
2020-06-08 13:07:18,276 INFO  [log] Execute all steps along with CSV report generation
2020-06-08 13:07:21,544 INFO  [log] 
            
2020-06-08 13:07:21,546 INFO  [log] Normal Flow
2020-06-08 13:07:25,152 INFO  [log] Execute all steps along with CSV report generation
2020-06-08 13:07:26,585 INFO  [log] 
            
2020-06-08 13:07:26,592 INFO  [log] Normal Flow
2020-06-08 13:07:30,012 INFO  [log] Execute all steps along with CSV report generation
2020-06-08 13:07:31,268 INFO  [log] 
            
2020-06-08 13:07:31,270 INFO  [log] Normal Flow
2020-06-08 13:07:34,200 INFO  [log] Execute all steps along with CSV report generation
2020-06-08 13:07:35,289 INFO  [log] 
            
2020-06-08 13:07:35,292 INFO  [log] Normal Flow
2020-06-08 13:07:50,783 INFO  [log] 969
